motivational, empathetic, fair
supportive, engaging, dedicated
approachable, accommodating, and understanding
passionate, creative, engaging
understanding , fun , helpful
funny, inspiring, enthusiastic
understanding, inspiring, knowledgeable 
passionate, caring, knowledgable
compassionate , fair , challenging
strict, approachable, interesting
encouraging 
constructive , supportive , fair , 
thorough, helpful, kind
fun, helpful, encouraging
supportive engaging memorable 
fair, fun, and funny
inspiring approachable understanding 
fun, engaging, exciting
inspiring, unforgettable, caring 
empathetic, honest, and humorous
knowledgeable , concise , friendly
awesome, challenging, fun
engaging, understanding, enthusiastic
fun, fair, and inspiring 
caring, strict and organized 
interesting, educational, inspiring 
passionate, intelligent, authentic
smart, patient, and passionate
genuine, engaging, and approachable
animated, attentive, fair 
willing to learn 
passionate , smart , fair
motivating, challenging, knowledgeable
fair, enthusiastic, interesting
engaging, compassionate, inspiring
energetic, encouraging, fair
fun, attentive, fair
energetic, involved, challenging 
helpful , enlightening , inspiring 
generous, honest, helpful
passionate, funny, caring
motivating, compassionate, patient
helpful, structured, and energetic 
fun, considerate, disciplined 
just, positive, firm
intense, inspiring, helpful
love to learn, passionate, caring
kind, strict, caring
engaging, fun, motivating
independent, analytical, respectful
fun, caring, and accomodating
fair, dedicated, fun
smart, fun, fair
inspiring, dedicated and passionate 
no-nonsense , patient , helpful
welcoming, fun, encouraging 
inspiring, challenging, passionate
inspiring, supportive, approachable
awesome , flexible , fun
engaging, caring of our needs, and passionate 
caring , fun , challenging
invested, creative and caring
enthusiastic, caring, funny
engaging, passionate, knowledgable
approachable , helpful , knowledgeable
clever , determined , caring
fair, fun, loyal
fun, hard, caring
passionate, friendly, knowledgable
respectful, dilligent, encouraging 
inspiring, patient, understanding 
fun, hard working, informative 
 patient ,  positive ,  engaging
understanding, fair, energetic
loved
relatable, understanding 
funny, difficult, cool
caring, involved, understanding
demanding, respectful, fun
reasonable  , carring  , fun
selfless, understanding, and respectful
motivating, interactive, helpful
positive, caring, supportive
fun, athletic, fair minded
fair, knowledgeable, passionate 
supportive, fair, sincere 
demanding, energizing, caring
fair, friendly, respectful 
inspiring, fun, passionate 
engaging , helpful , inspiring
approachable, understandable, awesome
awesome , loving  , involved 
straight-laced , compassionate , fun
flexible, fair, and funny
honest, trustful, loyal 
clear , consistent , fair
knowledgeable, fair, effective
awesome!, tough, supportive 
inspiring, knowledgeable, compassionate
caring, kind, skillful in content
enthusiastic, caring, inspiring
fair, informative, and inspiring
caring, encouraging, artistic
positive, knowledgeable, encouraging 
knowledgeable , friendly , caring
involved, engaging, and creative
funny, enthusiastic, and inspiring
creative, engaging, and positive
engaging, positive, inspiring 
different , fair , understanding
knowledgeable, understanding, enthusiastic
patient , creative , knowledgeable
helpful, fun, warm
caring, challenging, fair 
fair , empathetic  , enthusiastic
funny, personable, inclusive
positive, inspiring, fun , 
engaging, enthusiastic, challenging
caring, knowledgeable, attentive
challenging, fun, creative
supportive, trusted, inspiring
relevant , strict , fair
interesting, fun, and caring
organized , fair , caring
trustworthy, interesting, fun
approachable, inspirational, & engaging
compassionate, sincere, fair
trusting , engaging , knowledgable
strict, open-minded, fair
creative , supportive , passionate
passionate, caring, tough
compassionate , friendly , funny
patient, motivating, engaging
understanding, engaging, and encouraging
students have to learn math active
approachable, understanding, and nice
challenging, fun, leader
inspiring supportive fun
interesting , funny , serious
kind, funny, and fair
awesome, passionate, real 
challenging, encouraging, engaging
inspiring, energetic, compassionate
patient, inspiring, and caring
i am fun, talented, knowledgeable 
knowledgeable, trustworthy, hardworking
impactful, commanding, caring
